question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"80. Which among the following events happened earliest ?
(a) Swami Dayanand established Arya Samaj.
(b) Dinabandhu Mitra wrote Neeldarpan.
(c) Bankim Chandra Chattopadhyay wrote Anandmath.
(d) Satyendranath Tagore became the first Indian to succeed in the Indian Civil Services Examination.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of events in Indian history, focusing on the sequence of significant historical milestones in the 19th century.",FALSE,Chronology of Historical Events,"Swami Dayanand, Arya Samaj, Dinabandhu Mitra, Neeldarpan, Bankim Chandra Chattopadhyay, Anandmath, Satyendranath Tagore, Indian Civil Services Examination, Chronology","India's Struggle for Independence by Bipin Chandra, Modern India by Bipin Chandra",Factual recall and temporal sequencing of historical events.,TRUE,2018
"81. Which of the following is/are the possible consequence/s of heavy sand mining in riverbeds ?
1. Decreased salinity in the river
2. Pollution of groundwater
3. Lowering of the water-table
Select the correct answer using the code given below :
(a) 1 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of environmental science, focusing on the consequences of heavy sand mining in riverbeds.",FALSE,Consequences of Sand Mining on Riverbeds,"sand mining, riverbed ecology, groundwater pollution, water-table depletion, environmental impact","Environment and Ecology by Majid Husain, NCERT Environmental Studies (Class 11-12)",Conceptual understanding and factual recall regarding environmental consequences of human activities on river ecosystems.,TRUE,2018
"82. With reference to agricultural soils, consider the following statements :
1. A high content of organic matter in soil drastically reduces its water holding capacity.
2. Soil does not play any role in the sulphur cycle.
3. Irrigation over a period of time can contribute to the salinization of some agricultural lands.
Which of the statements given above is/are correct?
(a) 1 and 2 only
(b) 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of agricultural sciences, focusing on the effects of soil composition and irrigation on agricultural practices.",,Soil properties and cycles in agriculture,"agricultural soils, organic matter, water holding capacity, sulphur cycle, irrigation, salinization","Environment and Ecology by Majid Husain, Soil Science by B.M. Das, Indian Agriculture by R.N. Srivastava",factual recall,TRUE,2018
"83. The Partnership for Action on Green Economy (PAGE), a UN mechanism to assist countries transition towards greener and more inclusive economies, emerged at
(a) The Earth Summit on Sustainable Development 2002, Johannesburg
(b) The United Nations Conference on Sustainable Development 2012, Rio de Janeiro
(c) The United Nations Framework Convention on Climate Change 2015, Paris
(d) The World Sustainable Development Summit 2016, New Delhi",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of international environmental agreements, focusing on the origins of the Partnership for Action on Green Economy (PAGE).",FALSE,Green Economy and Sustainable Development,"PAGE, Green Economy, UN mechanism, Sustainable Development, International Conference, Johannesburg, Rio de Janeiro, Paris, New Delhi","Environment and Ecology by Majid Husain, The Oxford Companion to Politics of the World",factual recall,TRUE,2018
"84. ""3D printing"" has applications in which of the following?
1. Preparation of confectionery items
2. Manufacture of bionic ears
3. Automotive industry
4. Reconstructive surgeries
5. Data processing technologies
Select the correct answer using the code given below:
(a) 1, 3 and 4 only
(b) 2, 3 and 5 only
(c) 1 and 4 only
(d) 1, 2, 3, 4 and 5",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of 3D printing applications, focusing on identifying correct applications associated with this technology.",FALSE,Applications of 3D Printing,"3D printing, manufacturing, confectionery items, bionic ears, automotive industry, reconstructive surgeries, data processing","Science and Technology in India (by Kalpana Rajaram), Technology in India (NCERT)",Conceptual understanding and factual recall regarding the applications of 3D printing technology,TRUE,2018
"85. Consider the following statements :
1. The Barren Island volcano is an active volcano located in the Indian territory.
2. Barren Island lies about 140 km east of Great Nicobar.
3. The last time the Barren Island volcano erupted was in 1991 and it has remained inactive since then.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 and 3
(c) 3 only
(d) 1 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of geographical features of India, focusing on the characteristics of Barren Island and its volcanic activity.",FALSE,Volcanic Activity in the Andaman & Nicobar Region,"Barren Island volcano, active volcano, Andaman & Nicobar Islands, volcanic eruption, geographical location","NCERT Geography, Indian Geography by Majid Husain, Certificate Physical and Human Geography",Factual Recall,TRUE,2018
"86. Why is a plant called Prosopis juliflora often mentioned in news?
(a) Its extract is widely used in cosmetics.
(b) It tends to reduce the biodiversity in the area in which it grows.
(c) Its extract is used in the synthesis of pesticides.
(d) None of the above",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of environmental science, focusing on the impacts of invasive species on biodiversity.",FALSE,Impact of invasive species on biodiversity,"Prosopis juliflora, invasive species, biodiversity reduction, ecosystem impact","Environment and Ecology by Majid Husain, Shankar IAS Environment Book",factual recall,TRUE,2018
"87. Consider the following statements :
1. Most of the world's coral reefs are in tropical waters.
2. More than one-third of the world's coral reefs are located in the territories of Australia, Indonesia and Philippines.
3. Coral reefs host far more number of animal phyla than those hosted by tropical rainforests.
Which of the statements given above is/are correct?
(a) 1 and 2 only
(b) 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of coral reefs and biodiversity, focusing on the geographical distribution and ecological significance of coral reefs compared to tropical rainforests.",FALSE,Marine Biodiversity - Coral Reefs,"coral reefs, tropical waters, biodiversity, marine ecosystems, environment","Environment and Ecology by Majid Husain, NCERT Environmental Studies Textbooks, Shankar IAS Environment Compilation",factual recall and application of knowledge regarding environmental ecosystems and marine biodiversity,TRUE,2018
"88. ""Momentum for Change: Climate Neutral Now"" is an initiative launched by
(a) The Intergovernmental Panel on Climate Change
(b) The UNEP Secretariat
(c) The UNFCCC Secretariat
(d) The World Meteorological Organization",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of international climate initiatives, focusing on the entity that launched the 'Momentum for Change: Climate Neutral Now' initiative.",FALSE,Climate Change Policy and Global Initiatives,"Momentum for Change, Climate Neutral Now, UNFCCC Secretariat, climate change, global environmental initiatives","Shankar IAS Environment, NCERT Environmental Science texts, Current Affairs Compilations",factual recall,TRUE,2018
"89. With reference to educational institutions during colonial rule in India, consider the following pairs :
Institution Founder
1. Sanskrit College - William
at Benaras Jones
2. Calcutta Madarsa - Warren
Hastings
3. Fort William - Arthur
College Wellesley
Which of the pairs given above is/are correct?
(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of colonial education institutions in India, focusing on the founders of significant educational establishments during the colonial period.",FALSE,Educational Institutions during Colonial Rule,"Sanskrit College, William Jones, Calcutta Madarsa, Warren Hastings, Fort William College, Arthur Wellesley, colonial rule","Modern India by Bipin Chandra, India's Struggle for Independence by Bipan Chandra",Factual recall,TRUE,2018
"90. Consider the following pairs :
Regions sometimes Country
mentioned in news
1. Catalonia - Spain
2. Crimea - Hungary
3. Mindanao - Philippines
4. Oromia - Nigeria
Which of the pairs given above are correctly matched ?
(a) 1, 2 and 3
(b) 3 and 4 only
(c) 1 and 3 only
(d) 2 and 4 only",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of geopolitical regions, focusing on identifying correct country-region matches based on recent news coverage.",FALSE,Geopolitical Regions and their National Affiliations,"Catalonia, Spain, Crimea, Hungary, Mindanao, Philippines, Oromia, Nigeria, territorial dispute, regional identity","India's Foreign Policy by V.P. Menon, Challenges to Internal Security by Ashok R. Kumar, International Relations by Pavneet Singh",factual recall and application of geographic and political knowledge to analyze the pairing of regions to their respective countries,TRUE,2018
